,index,Unnamed: 0,id,path,class
0,0,0,2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1
1,30,30,62,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,2
2,60,60,121,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,3
3,90,90,181,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,4
4,120,120,241,005.Crested_Auklet/Crested_Auklet_0061_794904.jpg,5
5,150,150,283,006.Least_Auklet/Least_Auklet_0035_1888.jpg,6
6,180,180,324,007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg,7
7,210,210,377,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0028_2056.jpg,8
8,240,240,426,009.Brewer_Blackbird/Brewer_Blackbird_0139_2567.jpg,9
9,270,270,484,010.Red_winged_Blackbird/Red_Winged_Blackbird_0091_4096.jpg,10
10,300,300,544,011.Rusty_Blackbird/Rusty_Blackbird_0086_6658.jpg,11
11,330,330,605,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0074_8452.jpg,12
12,360,360,660,013.Bobolink/Bobolink_0107_10252.jpg,13
13,390,390,720,014.Indigo_Bunting/Indigo_Bunting_0005_13832.jpg,14
14,420,420,780,015.Lazuli_Bunting/Lazuli_Bunting_0073_14594.jpg,15
15,450,450,841,016.Painted_Bunting/Painted_Bunting_0039_15235.jpg,16
16,480,480,898,017.Cardinal/Cardinal_0085_19162.jpg,17
17,510,510,954,018.Spotted_Catbird/Spotted_Catbird_0030_796801.jpg,18
18,540,540,1000,019.Gray_Catbird/Gray_Catbird_0067_21043.jpg,19
19,570,570,1058,020.Yellow_breasted_Chat/Yellow_Breasted_Chat_0090_21931.jpg,20
20,600,600,1120,021.Eastern_Towhee/Eastern_Towhee_0052_22558.jpg,21
21,630,630,1181,022.Chuck_will_Widow/Chuck_Will_Widow_0053_796953.jpg,22
22,660,660,1232,023.Brandt_Cormorant/Brandt_Cormorant_0029_23043.jpg,23
23,690,690,1291,024.Red_faced_Cormorant/Red_Faced_Cormorant_0053_796331.jpg,24
24,720,720,1343,025.Pelagic_Cormorant/Pelagic_Cormorant_0054_23812.jpg,25
25,750,750,1403,026.Bronzed_Cowbird/Bronzed_Cowbird_0027_24022.jpg,26
26,780,780,1464,027.Shiny_Cowbird/Shiny_Cowbird_0019_24323.jpg,27
27,810,810,1523,028.Brown_Creeper/Brown_Creeper_0042_24578.jpg,28
28,840,840,1582,029.American_Crow/American_Crow_0117_25090.jpg,29
29,870,870,1642,030.Fish_Crow/Fish_Crow_0068_25859.jpg,30
30,900,900,1703,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0005_26161.jpg,31
31,930,930,1762,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0029_794624.jpg,32
32,960,960,1815,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0048_26632.jpg,33
33,990,990,1875,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0042_27143.jpg,34
34,1020,1020,1933,035.Purple_Finch/Purple_Finch_0025_28174.jpg,35
35,1050,1050,1994,036.Northern_Flicker/Northern_Flicker_0036_28681.jpg,36
36,1080,1080,2053,037.Acadian_Flycatcher/Acadian_Flycatcher_0066_29190.jpg,37
37,1110,1110,2113,038.Great_Crested_Flycatcher/Great_Crested_Flycatcher_0004_29701.jpg,38
38,1140,1140,2172,039.Least_Flycatcher/Least_Flycatcher_0036_30213.jpg,39
39,1170,1170,2232,040.Olive_sided_Flycatcher/Olive_Sided_Flycatcher_0054_30732.jpg,40
40,1200,1200,2291,041.Scissor_tailed_Flycatcher/Scissor_Tailed_Flycatcher_0098_41731.jpg,41
41,1230,1230,2352,042.Vermilion_Flycatcher/Vermilion_Flycatcher_0020_42498.jpg,42
