,index,Unnamed: 0,path,class
0,9936,9936,dog.0.jpg,0
1,0,0,cat.1.jpg,1
2,9937,9937,dog.1.jpg,0
3,1,1,cat.10.jpg,1
4,9938,9938,dog.10.jpg,0
5,2,2,cat.100.jpg,1
6,9939,9939,dog.100.jpg,0
7,3,3,cat.1000.jpg,1
8,9940,9940,dog.1000.jpg,0
9,4,4,cat.10000.jpg,1
10,9941,9941,dog.10000.jpg,0
11,5,5,cat.10001.jpg,1
12,9942,9942,dog.10001.jpg,0
13,6,6,cat.10002.jpg,1
14,9943,9943,dog.10002.jpg,0
15,7,7,cat.10003.jpg,1
16,9944,9944,dog.10004.jpg,0
17,8,8,cat.10004.jpg,1
18,9945,9945,dog.10005.jpg,0
19,9,9,cat.10005.jpg,1
20,9946,9946,dog.10007.jpg,0
21,10,10,cat.10006.jpg,1
22,9947,9947,dog.10008.jpg,0
23,11,11,cat.10007.jpg,1
24,9948,9948,dog.10009.jpg,0
25,12,12,cat.10008.jpg,1
26,9949,9949,dog.10011.jpg,0
27,13,13,cat.10009.jpg,1
28,9950,9950,dog.10012.jpg,0
29,14,14,cat.1001.jpg,1
30,9951,9951,dog.10013.jpg,0
31,15,15,cat.10010.jpg,1
32,9952,9952,dog.10014.jpg,0
33,16,16,cat.10012.jpg,1
34,9953,9953,dog.10015.jpg,0
35,17,17,cat.10013.jpg,1
36,9954,9954,dog.10017.jpg,0
37,18,18,cat.10014.jpg,1
38,9955,9955,dog.10018.jpg,0
39,19,19,cat.10015.jpg,1
40,9956,9956,dog.1002.jpg,0
41,20,20,cat.10017.jpg,1
42,9957,9957,dog.10020.jpg,0
43,21,21,cat.10018.jpg,1
44,9958,9958,dog.10022.jpg,0
45,22,22,cat.10019.jpg,1
46,9959,9959,dog.10024.jpg,0
47,23,23,cat.1002.jpg,1
48,9960,9960,dog.10025.jpg,0
49,24,24,cat.10020.jpg,1
50,9961,9961,dog.10026.jpg,0
51,25,25,cat.10021.jpg,1
52,9962,9962,dog.10028.jpg,0
53,26,26,cat.10022.jpg,1
54,9963,9963,dog.10030.jpg,0
55,27,27,cat.10023.jpg,1
56,9964,9964,dog.10031.jpg,0
57,28,28,cat.10024.jpg,1
58,9965,9965,dog.10032.jpg,0
59,29,29,cat.10025.jpg,1
60,9966,9966,dog.10033.jpg,0
61,30,30,cat.10027.jpg,1
62,9967,9967,dog.10034.jpg,0
63,31,31,cat.10028.jpg,1
64,9968,9968,dog.10035.jpg,0
65,32,32,cat.10029.jpg,1
66,9969,9969,dog.10037.jpg,0
67,33,33,cat.1003.jpg,1
68,9970,9970,dog.10039.jpg,0
69,34,34,cat.10030.jpg,1
70,9971,9971,dog.1004.jpg,0
71,35,35,cat.10031.jpg,1
72,9972,9972,dog.10040.jpg,0
73,36,36,cat.10035.jpg,1
74,9973,9973,dog.10041.jpg,0
75,37,37,cat.10036.jpg,1
76,9974,9974,dog.10042.jpg,0
77,38,38,cat.10037.jpg,1
78,9975,9975,dog.10043.jpg,0
79,39,39,cat.10039.jpg,1
80,9976,9976,dog.10044.jpg,0
81,40,40,cat.1004.jpg,1
82,9977,9977,dog.10046.jpg,0
83,41,41,cat.10040.jpg,1
84,9978,9978,dog.10047.jpg,0
85,42,42,cat.10042.jpg,1
86,9979,9979,dog.10048.jpg,0
87,43,43,cat.10043.jpg,1
88,9980,9980,dog.10049.jpg,0
89,44,44,cat.10045.jpg,1
90,9981,9981,dog.1005.jpg,0
91,45,45,cat.10046.jpg,1
92,9982,9982,dog.10050.jpg,0
93,46,46,cat.10047.jpg,1
94,9983,9983,dog.10051.jpg,0
95,47,47,cat.10048.jpg,1
96,9984,9984,dog.10052.jpg,0
97,48,48,cat.10049.jpg,1
98,9985,9985,dog.10053.jpg,0
99,49,49,cat.1005.jpg,1
100,9986,9986,dog.10054.jpg,0
101,50,50,cat.10050.jpg,1
102,9987,9987,dog.10055.jpg,0
103,51,51,cat.10051.jpg,1
104,9988,9988,dog.10056.jpg,0
105,52,52,cat.10052.jpg,1
106,9989,9989,dog.10057.jpg,0
107,53,53,cat.10054.jpg,1
108,9990,9990,dog.10059.jpg,0
109,54,54,cat.10056.jpg,1
110,9991,9991,dog.1006.jpg,0
111,55,55,cat.10057.jpg,1
112,9992,9992,dog.10060.jpg,0
113,56,56,cat.1006.jpg,1
114,9993,9993,dog.10061.jpg,0
115,57,57,cat.10060.jpg,1
116,9994,9994,dog.10062.jpg,0
117,58,58,cat.10061.jpg,1
118,9995,9995,dog.10063.jpg,0
119,59,59,cat.10063.jpg,1
120,9996,9996,dog.10064.jpg,0
121,60,60,cat.10064.jpg,1
122,9997,9997,dog.10065.jpg,0
123,61,61,cat.10065.jpg,1
124,9998,9998,dog.10067.jpg,0
125,62,62,cat.10066.jpg,1
126,9999,9999,dog.10068.jpg,0
127,63,63,cat.10068.jpg,1
128,10000,10000,dog.1007.jpg,0
129,64,64,cat.10069.jpg,1
130,10001,10001,dog.10071.jpg,0
131,65,65,cat.1007.jpg,1
132,10002,10002,dog.10072.jpg,0
133,66,66,cat.10070.jpg,1
134,10003,10003,dog.10073.jpg,0
135,67,67,cat.10071.jpg,1
136,10004,10004,dog.10074.jpg,0
