,path,label
0,cat.1.jpg,1
1,cat.10.jpg,1
2,cat.100.jpg,1
3,cat.1000.jpg,1
4,cat.10000.jpg,1
5,cat.10001.jpg,1
6,cat.10002.jpg,1
7,cat.10003.jpg,1
8,cat.10004.jpg,1
9,cat.10005.jpg,1
10,cat.10006.jpg,1
11,cat.10007.jpg,1
12,cat.10008.jpg,1
13,cat.10009.jpg,1
14,cat.1001.jpg,1
15,cat.10010.jpg,1
16,cat.10012.jpg,1
17,cat.10013.jpg,1
18,cat.10014.jpg,1
19,cat.10015.jpg,1
20,cat.10017.jpg,1
21,cat.10018.jpg,1
22,cat.10019.jpg,1
23,cat.1002.jpg,1
24,cat.10020.jpg,1
25,cat.10021.jpg,1
26,cat.10022.jpg,1
27,cat.10023.jpg,1
28,cat.10024.jpg,1
29,cat.10025.jpg,1
30,cat.10027.jpg,1
31,cat.10028.jpg,1
32,cat.10029.jpg,1
33,cat.1003.jpg,1
34,cat.10030.jpg,1
35,cat.10031.jpg,1
36,cat.10035.jpg,1
37,cat.10036.jpg,1
38,cat.10037.jpg,1
39,cat.10039.jpg,1
40,cat.1004.jpg,1
41,cat.10040.jpg,1
42,cat.10042.jpg,1
43,cat.10043.jpg,1
44,cat.10045.jpg,1
45,cat.10046.jpg,1
46,cat.10047.jpg,1
47,cat.10048.jpg,1
48,cat.10049.jpg,1
49,cat.1005.jpg,1
50,cat.10050.jpg,1
51,cat.10051.jpg,1
52,cat.10052.jpg,1
53,cat.10054.jpg,1
54,cat.10056.jpg,1
55,cat.10057.jpg,1
56,cat.1006.jpg,1
57,cat.10060.jpg,1
58,cat.10061.jpg,1
59,cat.10063.jpg,1
60,cat.10064.jpg,1
61,cat.10065.jpg,1
62,cat.10066.jpg,1
63,cat.10068.jpg,1
64,cat.10069.jpg,1
65,cat.1007.jpg,1
66,cat.10070.jpg,1
67,cat.10071.jpg,1
68,cat.10072.jpg,1
69,cat.10074.jpg,1
70,cat.10075.jpg,1
71,cat.10076.jpg,1
72,cat.10077.jpg,1
73,cat.10079.jpg,1
74,cat.1008.jpg,1
75,cat.10080.jpg,1
76,cat.10081.jpg,1
77,cat.10082.jpg,1
78,cat.10083.jpg,1
79,cat.10084.jpg,1
80,cat.10086.jpg,1
81,cat.10087.jpg,1
82,cat.10088.jpg,1
83,cat.10089.jpg,1
84,cat.1009.jpg,1
85,cat.10090.jpg,1
86,cat.10093.jpg,1
87,cat.10095.jpg,1
88,cat.10096.jpg,1
89,cat.10098.jpg,1
90,cat.10099.jpg,1
91,cat.101.jpg,1
92,cat.1010.jpg,1
93,cat.10100.jpg,1
94,cat.10102.jpg,1
95,cat.10103.jpg,1
96,cat.10104.jpg,1
97,cat.10105.jpg,1
98,cat.10106.jpg,1
99,cat.10107.jpg,1
100,cat.10108.jpg,1
101,cat.1011.jpg,1
102,cat.10110.jpg,1
103,cat.10113.jpg,1
104,cat.10114.jpg,1
105,cat.10115.jpg,1
106,cat.10116.jpg,1
107,cat.10119.jpg,1
108,cat.10120.jpg,1
109,cat.10121.jpg,1
110,cat.10123.jpg,1
111,cat.10124.jpg,1
112,cat.10125.jpg,1
113,cat.10127.jpg,1
114,cat.10128.jpg,1
